ts,container,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-01-04T01:27:02-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:27:02-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:27:02-05:00,basic-kernel-1,0.09%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:28:04-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:28:04-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:28:04-05:00,basic-kernel-1,0.13%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:29:07-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:29:07-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:29:07-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:30:10-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:30:10-05:00,basic-backend-1,0.00%,26.69MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:30:10-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:31:12-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:31:12-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:31:12-05:00,basic-kernel-1,0.08%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:32:14-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:32:14-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:32:14-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:33:17-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:33:17-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:33:17-05:00,basic-kernel-1,0.09%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:34:20-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:34:20-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:34:20-05:00,basic-kernel-1,0.08%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:35:22-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:35:22-05:00,basic-backend-1,0.01%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:35:22-05:00,basic-kernel-1,0.08%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:36:24-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:36:24-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:36:24-05:00,basic-kernel-1,0.09%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:37:27-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:37:27-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:37:27-05:00,basic-kernel-1,0.08%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:38:30-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:38:30-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:38:30-05:00,basic-kernel-1,0.08%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:39:33-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,4.96kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:39:33-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.71kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:39:33-05:00,basic-kernel-1,0.09%,45.91MiB / 7.659GiB,0.59%,8.16kB / 5.76kB,17.9MB / 0B,17
2026-01-04T01:40:35-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,5.03kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:40:35-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.79kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:40:35-05:00,basic-kernel-1,0.09%,45.91MiB / 7.659GiB,0.59%,11.3kB / 9.09kB,17.9MB / 0B,17
2026-01-04T01:41:38-05:00,basic-frontend-1,0.00%,10.64MiB / 7.659GiB,0.14%,5.03kB / 2kB,6.93MB / 4.1kB,13
2026-01-04T01:41:38-05:00,basic-backend-1,0.00%,26.98MiB / 7.659GiB,0.34%,3.79kB / 2.74kB,3.81MB / 4.1kB,23
2026-01-04T01:41:38-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,11.3kB / 9.09kB,17.9MB / 0B,17
2026-01-04T01:42:41-05:00,basic-frontend-1,0.00%,10.69MiB / 7.659GiB,0.14%,5.82kB / 2.94kB,6.93MB / 4.1kB,13
2026-01-04T01:42:41-05:00,basic-backend-1,0.00%,27.06MiB / 7.659GiB,0.34%,4.51kB / 3.38kB,3.81MB / 4.1kB,23
2026-01-04T01:42:41-05:00,basic-kernel-1,0.08%,45.91MiB / 7.659GiB,0.59%,12.1kB / 9.59kB,17.9MB / 0B,17
2026-01-04T01:43:43-05:00,basic-frontend-1,0.00%,10.69MiB / 7.659GiB,0.14%,5.82kB / 2.94kB,6.93MB / 4.1kB,13
2026-01-04T01:43:43-05:00,basic-backend-1,0.00%,27.06MiB / 7.659GiB,0.34%,4.51kB / 3.38kB,3.81MB / 4.1kB,23
2026-01-04T01:43:43-05:00,basic-kernel-1,0.10%,45.91MiB / 7.659GiB,0.59%,12.1kB / 9.59kB,17.9MB / 0B,17
2026-01-04T01:44:45-05:00,basic-frontend-1,0.00%,10.69MiB / 7.659GiB,0.14%,5.82kB / 2.94kB,6.93MB / 4.1kB,13
